,Datetime,Tweet Id,url,replyCount,renderedContent,source,text,retweetCount,language,likes
0,2023-01-16 08:27:12+00:00,1614902073035993089,https://twitter.com/IPL/status/1614902073035993089,6,"Viacom18 Media Private Limited will acquire the Media Rights from WIPL Season 2023 to WIPL Season 2027 for a cumulative figure of INR 951 crores (i.e., INR 7.09 crores per match).","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Viacom18 Media Private Limited will acquire the Media Rights from WIPL Season 2023 to WIPL Season 2027 for a cumulative figure of INR 951 crores (i.e., INR 7.09 crores per match).",49,en,1239
1,2023-01-16 08:26:59+00:00,1614902019172741120,https://twitter.com/IPL/status/1614902019172741120,34,"NEWS 🚨- The BCCI is pleased to announce Viacom18 Media Private Limited as the successful bidder of Media Rights for the Women’s Indian Premier League (WIPL) Seasons 2023-2027.

More details here - iplt20.com/news/3854/bcci… @viacom18 https://t.co/lsAK0FRsHk","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NEWS 🚨- The BCCI is pleased to announce Viacom18 Media Private Limited as the successful bidder of Media Rights for the Women’s Indian Premier League (WIPL) Seasons 2023-2027.

More details here - https://t.co/WpAz9tpr0R @viacom18 https://t.co/lsAK0FRsHk",192,en,4163
2,2023-01-03 14:01:13+00:00,1610275088519290880,https://twitter.com/IPL/status/1610275088519290880,105,"BCCI announces release of Invitation to Tender for the right to own and operate a team in Women’s Indian Premier League.

More details here - iplt20.com/news/3853/boar…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BCCI announces release of Invitation to Tender for the right to own and operate a team in Women’s Indian Premier League.

More details here - https://t.co/NamwGwjjDi",228,en,3488
3,2022-12-25 12:47:49+00:00,1606995125863079936,https://twitter.com/IPL/status/1606995125863079936,34,"Kochi 🏝️
A fantastic Auction Arena 👌🏻
Record-breaking historic buys 💰
And a bunch of people working behind the scenes to make the event possible 😃

Here are snapshots from the #TATAIPLAuction 2023 https://t.co/UW6bWT9fAy","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Kochi 🏝️
A fantastic Auction Arena 👌🏻
Record-breaking historic buys 💰
And a bunch of people working behind the scenes to make the event possible 😃

Here are snapshots from the #TATAIPLAuction 2023 https://t.co/UW6bWT9fAy",179,en,3444
4,2022-12-24 06:27:31+00:00,1606537034277191681,https://twitter.com/IPL/status/1606537034277191681,23,https://t.co/xAFmgaRv1n,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://t.co/xAFmgaRv1n,288,zxx,2105
5,2022-12-24 06:27:05+00:00,1606536924826865664,https://twitter.com/IPL/status/1606536924826865664,25,https://t.co/eRBrBVuOa2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://t.co/eRBrBVuOa2,293,zxx,2075
6,2022-12-24 06:26:39+00:00,1606536814059483136,https://twitter.com/IPL/status/1606536814059483136,77,"𝘿𝙤𝙣𝙚 &amp; 𝘿𝙪𝙨𝙩𝙚𝙙!

Here are the 🔟 squads that will be ready to face each other and set the stage on 🔥🔥 in the #TATAIPL 2023

#TATAIPLAuction | @TataCompanies https://t.co/e1qHauwa7G","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","𝘿𝙤𝙣𝙚 &amp; 𝘿𝙪𝙨𝙩𝙚𝙙!

Here are the 🔟 squads that will be ready to face each other and set the stage on 🔥🔥 in the #TATAIPL 2023

#TATAIPLAuction | @TataCompanies https://t.co/e1qHauwa7G",737,en,7484
7,2022-12-23 16:51:50+00:00,1606331760828112898,https://twitter.com/IPL/status/1606331760828112898,78,"Some broke the bank 💵💰

Some entered an intense bidding war 🤜🤛

While some got the player of their choice 🎯

Here are the 🔝buys at the #TATAIPLAuction 2023 👌 https://t.co/93LXEYegWa","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Some broke the bank 💵💰

Some entered an intense bidding war 🤜🤛

While some got the player of their choice 🎯

Here are the 🔝buys at the #TATAIPLAuction 2023 👌 https://t.co/93LXEYegWa",633,en,8764
8,2022-12-23 16:45:43+00:00,1606330222726586368,https://twitter.com/IPL/status/1606330222726586368,3,https://t.co/ymhsM83ZkV,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://t.co/ymhsM83ZkV,87,zxx,1712
9,2022-12-23 16:45:08+00:00,1606330073170055168,https://twitter.com/IPL/status/1606330073170055168,4,https://t.co/m3YI2fjSam,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://t.co/m3YI2fjSam,86,zxx,1631
